data;id;command
2020-06-05;503174223;/pidor_stat
2020-06-05;503174223;/pussy
2020-06-05;503174223;/help
2020-06-05;503174223;/pussy
2020-06-05;902459949;/pussy
2020-06-05;621270503;/pussy
2020-06-05;503174223;статистика 1 пользователи
2020-06-05;332337143;/pidor_stat
2020-06-05;332337143;/help
2020-06-05;332337143;/pussy
2020-06-05;-1001293347227;статистика 1 пользователи
2020-06-05;503174223;статистика 1 команды
2020-06-05;-1001293347227;статистика 1 пользователи тхт
2020-06-05;503174223;/pussy
2020-06-05;503174223;/help
2020-06-05;503174223;/pidor_stat
2020-06-05;503174223;статистика 1 пользователи
2020-06-05;-1001223671970;/pussy@pixelsetup_bot
2020-06-05;-1001223671970;Статистика 1 команды
2020-06-05;-1001223671970;/pidor_stat
2020-06-05;-1001223671970;/help
2020-06-05;-1001223671970;/киски
2020-06-05;-1001223671970;/киски
2020-06-05;-1001293347227;/киски
2020-06-05;-1001223671970;/киски
2020-06-05;-1001223671970;/киски
2020-06-05;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;статистика 1 пользователи
2020-06-06;503174223;статистика 1 команды тхт
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pussy
2020-06-06;503174223;Статистика 2 пользователи
2020-06-06;503174223;Статистика 2 команды
2020-06-06;503174223;/pussy
2020-06-06;503174223;/pidor_stat
2020-06-06;503174223;Статистика 2 команды
2020-06-06;503174223;Статистика 2 пользователи
2020-06-06;621270503;Статистика 2 пользователи
2020-06-06;621270503;Статистика 2 команды
2020-06-06;621270503;/pussy
2020-06-06;621270503;/pidor_stat
2020-06-06;621270503;/help
2020-06-06;621270503;Статистика 2 пользователи
2020-06-06;621270503;Статистика 2 команды
2020-06-06;621270503;/pussy
2020-06-06;621270503;/pidor_stat
2020-06-06;621270503;/help
2020-06-06;621270503;Статистика 1 пользователи
2020-06-06;621270503;Статистика 1 команды
2020-06-06;621270503;/pussy
2020-06-06;621270503;/pidor_stat
2020-06-06;621270503;/help
2020-06-06;621270503;Статистика 1 пользователи команды
